Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
γ Sge,γ,12,,189319,98337,19h 58m 45.39s,+19° 29′ 31.5″,3.51,-1.11,274,K5III,"variable star, Δ*V* = 0.004m, *P* = 6.37836 d"
δ Sge A,δ,7,,187076,97365,19h 47m 23.27s,+18° 32′ 03.3″,3.82,-1.87,448,M2II + B6,"semiregular variable, *V*max = 3.75m, *V*min = 3.83m"
δ Sge B,δ,7,,187077,,19h 47m 23.10s,+18° 32′ 01.0″,3.8,,,,
α Sge,α,5,,185758,96757,19h 40m 05.78s,+18° 00′ 50.2″,4.39,-1.42,473,G0II,"Sham, Alsahm"
β Sge,β,6,,185958,96837,19h 41m 02.93s,+17° 28′ 34.0″,4.39,-1.39,466,G8II,
ζ Sge,ζ,8,,187362,97496,19h 48m 58.65s,+19° 08′ 31.1″,5.01,0.01,326,A3V,
η Sge,η,16,,190608,98920,20h 05m 09.47s,+19° 59′ 27.2″,5.09,1.61,162,K2III,suspected variable
13 Sge,,13,VZ,189577,98438,20h 00m 03.31s,+17° 30′ 59.5″,5.33,-1.47,746,M4IIIa,"semiregular variable, *V*max = 5.27m, *V*min = 5.57m"
11 Sge,,11,,189090,98234,19h 57m 45.44s,+16° 47′ 20.8″,5.54,0.07,404,B9III,
1 Sge,,1,,180317,94620,19h 15m 17.34s,+21° 13′ 55.6″,5.65,0.71,318,A4V,
ε Sge,ε,4,,185194,96516,19h 37m 17.38s,+16° 27′ 46.0″,5.67,-0.14,473,G8IIIvar,"suspected variable, *V*max = 5.64m, *V*min = 5.67m"
S Sge,,10,S,188727,98085,19h 56m 01.26s,+16° 38′ 05.3″,5.71,-4.89,4289,G5Ibv SB,"Cepheid variable, *V*max = 5.24m, *V*min = 6.04m, *P* = 8.382086 d"
15 Sge,,15,,190406,98819,20h 04m 06.47s,+17° 04′ 16.2″,5.8,4.56,58,G1V,"binary star; suspected variable, *V*max = 5.77m, *V*min = 5.80m"
HD 193579,,,,193579,100276,20h 20m 21.40s,+17° 47′ 34.8″,5.82,-0.01,477,K5III,
HD 190211,,,,190211,98738,20h 03m 16.39s,+18° 30′ 03.7″,5.99,-1.09,849,K3Iab:,
HD 180242,,,,180242,94598,19h 15m 02.69s,+20° 12′ 11.3″,6.03,-0.7,724,G8III,"suspected variable, *V*max = 6m, *V*min = 6.04m"
HD 178428,,,,178428,93966,19h 07m 57.28s,+16° 51′ 14.9″,6.08,4.47,68,G5V,
HD 177199,,,,177199,93523,19h 02m 52.62s,+19° 39′ 39.7″,6.11,-2.26,1538,K1III,
18 Sge,,18,,192836,99913,20h 16m 19.78s,+21° 35′ 55.5″,6.11,1.31,298,K1III,
9 Sge,,9,QZ,188001,97796,19h 52m 21.77s,+18° 40′ 18.8″,6.23,-6.96,14174,O8e,"spectroscopic eclipsing binary, *V*max = 6.16m, *V*min = 6.23m"
HD 191814,,,,191814,99445,20h 11m 03.53s,+21° 08′ 04.2″,6.24,0.25,514,K0,
2 Sge,,2,,182490,95398,19h 24m 22.08s,+16° 56′ 15.9″,6.27,1.08,355,A2III-IV,
V340 Sge,,,V340,185622,96688,19h 39m 25.34s,+16° 34′ 16.1″,6.37,-2.87,2296,M0Iab-Ib SB,slow irregular variable
V344 Sge,,,V344,191178,99176,20h 08m 06.50s,+16° 39′ 51.7″,6.39,-4.18,4234,M3III,irregular variable
HD 180377,,,,180377,94646,19h 15m 33.37s,+18° 30′ 58.8″,6.46,-1.13,1072,M2III,semiregular variable
HD 176776,,,,176776,93374,19h 01m 05.43s,+19° 18′ 34.6″,6.47,0.74,457,K1III,
U Sge,,,U,181182,94910,19h 18m 48.41s,+19° 36′ 37.7″,6.5,-0.96,1012,B8III + K,"Algol variable, *V*max = 6.45m, *V*min = 9.28m, *P* = 3.38061933 d"
θ Sge,θ,17,,191570,99352,20h 09m 56.61s,+20° 54′ 53.2″,6.51,3.24,147,F5IV,
V338 Sge,,,V338,179588,94377,19h 12m 34.45s,+16° 50′ 47.1″,6.69,,791,B9IV,Eclipsing binary
3 Sge,,3,,182571,95435,19h 24m 45.39s,+16° 57′ 25.4″,6.84,1.36,407,A0,
HD 183143,,,HT,183143,95657,19h 27m 26.56s,+18° 17′ 45.2″,6.86,,7100,B7Iae,"Alpha Cygni variable, *V*max = 6.71m, *V*min = 6.95m, *P* = 40.44 d"
θ Sge,θ,17,,191571,,20h 09m 52.30s,+20° 53′ 47.0″,8.9,,,,component of the θ Sge system
HD 231701,,,,231701,96078,19h 32m 04.16s,+16° 28′ 27.4″,8.99,3.81,354,F8V,has a planet (b)
R Sge,,,R,192388,,20h 14m 03.75s,+16° 43′ 35.1″,9.2,,,G0Ib,"RV Tauri variable, *V*max = 8.0m, *V*min = 10.5m, *P* = 70.77 d"
FG Sge,,,FG,,99527,20h 11m 56.06s,+20° 20′ 04.4″,9.45,,606,B4Ieq-K2Ib,"*V*max = 8.7m, *V*min = 18.1m"
V Sge,,,V,,,20h 18m 02.00s,+20° 56′ 39.0″,9.6-13,,1100,,"prototype V Sagittae variable, *V*max = 8.16m, *V*min = 13.9m, *P* = 
0.514195 d"
GY Sge,,,GY,,,19h 35m 13.63s,+19° 12′ 08.6″,9.84,,,,"Cepheid variable, *V*max = 9.84m, *V*min = 10.60m, *P* = 51.0625 d"
HAT-P-34,,,,,,20h 12m 47s,+17° 37′ 41.2″,10.16,,838,F8,has a transiting planet (b)
SV Sge,,,SV,,93987,19h 08m 11.77s,+16° 43′ 35.1″,10.3,,,Rv...,"R Coronae Borealis variable, *V*max = 10.3m, *V*min = 16.5m, *P* = 56.64 d"
HD 187282,,,QT,187282,97456,19h 48m 32.20s,+18° 12′ 03.7″,10.51,,,WN4,"Wolf–Rayet star, Δ*V* = 0.04m"
QW Sge,,,QW,,,19h 45m 49.54s,+18° 36′ 47.8″,11,,,M6,"Z Andromedae variable, *V*max = 11.0m, *V*min = 12.8m, *P* = 517 d"
HM Sge,,,HM,,,19h 41m 57.09s,+16° 44′ 39.9″,11.1,,,M7,Nova and Mira variable
WR 124,,,QR,,94289,19h 11m 30.88s,+16° 51′ 38.2″,11.12,,,WN8,"Wolf–Rayet star, *V*max = 11.04m, *V*min = 11.12m"
RZ Sge,,,RZ,,,20h 03m 18.47s,+17° 02′ 51.9″,12.3,,,,"SU Ursae Majoris variable, *V*max = 12.3m, *V*min = 17.7m, *P* = 0.0682803 d"
QY Sge,,,QY,,,20h 07m 54.62s,+18° 42′ 54.5″,12.37,,,G0e...,"semiregular variable, *V*max = 12.37m, *V*min = 12.57m"
UU Sge,,,UU,,,19h 42m 10.30s,+17° 05′ 14.4″,14.67,,,sdO+G,"Algol variable in planetary nebula, *V*max = 14.18m, *V*min = 15.59m, *P* = 
0.46506918 d"
WZ Sge,,,WZ,,,20h 07m 36.50s,+17° 42′ 14.8″,15.2,,,DAepv,prototype WZ Sagittae variable
