Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Aldebaran,α,87,,,29139,21421,04h 35m 55.20s,+16° 30′ 35.1″,0.87,-0.63,65,K5III,"Cor Tauri, Parilicium; 13th brightest star, variable"
β Tau,β,112,,,35497,25428,05h 26m 17.50s,+28° 36′ 28.3″,1.65,-1.37,131,B7III,"El Nath, Alnath, Nath"
Alcyone A,η,25,,,23630,17702,03h 47m 29.06s,+24° 06′ 18.9″,2.85,-2.41,368,B7III,"member of the Pleiades star cluster, binary star"
ζ Tau,ζ,123,,,37202,26451,05h 37m 38.68s,+21° 08′ 33.3″,2.97,-2.56,417,B4IIIp,Tien Kwan（天關） ; γ Cas variable
θ2 Tau,θ2,78,,,28319,20894,04h 28m 39.67s,+15° 52′ 15.4″,3.4,0.1,149,A7III,member of the Hyades star cluster; δ Sct variable
λ Tau,λ,35,,,25204,18724,04h 00m 40.82s,+12° 29′ 25.4″,3.41,-1.87,370,B3V + A,eclipsing binary; Algol variable
ε Tau,ε,74,,,28305,20889,04h 28m 36.93s,+19° 10′ 49.9″,3.53,0.15,155,K0III,"Ain, Oculus Borealis; member of the Hyades star cluster; has a planet (b)"
ο Tau,ο,1,3,,21120,15900,03h 24m 48.84s,+09° 01′ 44.6″,3.61,-0.45,211,G8III,
Atlas A,,27,,,23850,17847,03h 49m 09.73s,+24° 03′ 12.7″,3.62,-1.72,380,B8III,member of the Pleiades star cluster; triple star
γ Tau,γ,54,,,27371,20205,04h 19m 47.53s,+15° 37′ 39.7″,3.65,0.28,154,G8III,"Hyadum I, Prima Hyadum, Primus Hyadum; member of the Hyades star cluster"
Electra,,17,,,23302,17499,03h 44m 52.52s,+24° 06′ 48.4″,3.72,-1.56,370,B6III,member of the Pleiades star cluster
ξ Tau,ξ,2,4,,21364,16083,03h 27m 10.12s,+09° 43′ 58.0″,3.73,-0.44,222,B9Vn,eclipsing binary
δ1 Tau,δ1,61,,,27697,20455,04h 22m 56.03s,+17° 32′ 33.3″,3.77,0.41,153,G8III,"Hyadum II, Secunda Hyadum, Secundus Hyadum; member of the Hyades star 
cluster"
θ1 Tau,θ1,77,,,28307,20885,04h 28m 34.43s,+15° 57′ 44.0″,3.84,0.42,158,G7III,member of the Hyades star cluster
Maia,,20,,,23408,17573,03h 45m 49.59s,+24° 22′ 04.3″,3.87,-1.34,360,B8III,member of the Pleiades star cluster
ν Tau,ν,38,30,,25490,18907,04h 03m 09.38s,+05° 59′ 21.5″,3.91,0.92,129,A1V,
5 Tau,f,5,,,21754,16369,03h 30m 52.37s,+12° 56′ 12.1″,4.14,-1.08,360,K0II-III...,
Merope,,23,,V971,23480,17608,03h 46m 19.56s,+23° 56′ 54.5″,4.14,-1.07,359,B6IV,V971 Tau; member of the Pleiades star cluster; β Cep variable
κ1 Tau,κ1,65,,,27934,20635,04h 25m 22.10s,+22° 17′ 38.3″,4.21,0.85,153,A7IV-V,member of the Hyades star cluster; sextuple star
88 Tau,d,88,61,,29140,21402,04h 35m 39.23s,+10° 09′ 39.3″,4.25,0.93,150,A5m,
μ Tau,μ,49,44,,26912,19860,04h 15m 32.05s,+08° 53′ 32.7″,4.27,-1.35,435,B3IV,Sadr al Tauri
90 Tau,c1,90,,,29388,21589,04h 38m 09.40s,+12° 30′ 39.1″,4.27,0.96,150,A6V,member of the Hyades star cluster
τ Tau,τ,94,,,29763,21881,04h 42m 14.70s,+22° 57′ 25.1″,4.27,-1.18,400,B3V,
υ Tau,υ,69,,,28024,20711,04h 26m 18.39s,+22° 48′ 49.3″,4.28,0.9,155,A8Vn,member of the Hyades star cluster; δ Sct variable
10 Tau,,10,11,,22484,16852,03h 36m 52.52s,+00° 24′ 10.2″,4.29,3.6,45,F9V,
Taygeta,q,19,,,23338,17531,03h 45m 12.48s,+24° 28′ 02.6″,4.3,-0.99,373,B6V,Taÿgete; member of the Pleiades star cluster
68 Tau,δ3,68,,V776,27962,20648,04h 25m 29.32s,+17° 55′ 40.8″,4.3,1.02,148,A2IV,V776 Tau; member of the Hyades star cluster; α2 CVn variable
119 Tau,,119,,CE,36389,25945,05h 32m 12.75s,+18° 35′ 39.3″,4.32,-4.53,1918,M2Ib,"Ruby Star, CE Tau; semiregular variable"
37 Tau,A1,37,,,25604,19038,04h 04m 41.66s,+22° 04′ 55.4″,4.36,0.64,181,K0III,
71 Tau,,71,,V777,28052,20713,04h 26m 20.67s,+15° 37′ 06.0″,4.48,1.08,156,F0V...,"V777 Tau; member of the Hyades star cluster; spectroscopic binary; δ Sct 
variable"
136 Tau,,136,,,39357,27830,05h 53m 19.64s,+27° 36′ 44.2″,4.56,-1.08,438,A0V,
ι Tau,ι,102,,,32301,23497,05h 03m 05.70s,+21° 35′ 24.2″,4.62,1.13,163,A7V,member of the Hyades star cluster
ρ Tau,ρ,86,,,28910,21273,04h 33m 50.86s,+14° 50′ 40.2″,4.65,1.3,152,A8V,member of the Hyades star cluster; δ Sct variable
σ2 Tau,σ2,92,,,29488,21683,04h 39m 16.45s,+15° 55′ 04.9″,4.67,1.23,159,A5Vn,"Fùěr (附耳),[1] member of the Hyades star cluster"
π Tau,π,73,,,28100,20732,04h 26m 36.38s,+14° 42′ 49.9″,4.69,-1.03,455,G8III,
HD 28527,,,,,28527,21029,04h 30m 33.57s,+16° 11′ 38.7″,4.78,1.54,145,A6IV,member of the Hyades star cluster
64 Tau,δ2,64,,,27819,20542,04h 24m 05.69s,+17° 26′ 39.2″,4.8,1.55,146,A7V,member of the Hyades star cluster
139 Tau,,139,,,40111,28237,05h 57m 59.66s,+25° 57′ 14.1″,4.81,-4.24,2103,B1Ib,
47 Tau,,47,42,,26722,19740,04h 13m 56.39s,+09° 15′ 50.0″,4.84,-0.44,371,G5III,
126 Tau,,126,,,37711,26777,05h 41m 17.72s,+16° 32′ 03.1″,4.84,-1.96,748,B3IV...,
114 Tau,o,114,,,35708,25539,05h 27m 38.08s,+21° 56′ 13.1″,4.88,-1.76,695,B2.5IV,
132 Tau,,132,,,38751,27468,05h 49m 00.96s,+24° 34′ 03.2″,4.88,-1.14,522,G8IIIvar,
134 Tau,,134,,,38899,27511,05h 49m 32.94s,+12° 39′ 04.9″,4.89,0.29,272,B9IV,
104 Tau,m,104,,,32923,23835,05h 07m 26.68s,+18° 38′ 42.0″,4.91,3.91,52,G4V,
ω2 Tau,ω2,50,,,27045,19990,04h 17m 15.69s,+20° 34′ 43.5″,4.93,2.64,93,A3m,
75 Tau,,75,,,28292,20877,04h 28m 26.37s,+16° 21′ 34.7″,4.96,1.08,194,K2IIIvar,
109 Tau,n,109,,,34559,24822,05h 19m 16.59s,+22° 05′ 48.1″,4.96,0.96,206,G8III,
φ Tau,φ,52,,,27382,20250,04h 20m 21.23s,+27° 21′ 03.4″,4.97,-0.13,342,K1III,
111 Tau,,111,,V1119,35296,25278,05h 24m 25.31s,+17° 23′ 00.8″,5,4.17,48,F8V SB,V1119 Tau; BY Draconis variable
79 Tau,b,79,,,28355,20901,04h 28m 50.10s,+13° 02′ 51.5″,5.02,1.56,160,A7V,member of the Hyades star cluster
Pleione,,28,,BU,23862,17851,03h 49m 11.20s,+24° 08′ 12.6″,5.05,-0.32,387,B7p,BU Tau; member of the Pleiades star cluster; γ Cas variable
30 Tau,e,30,,,23793,17771,03h 48m 16.25s,+11° 08′ 36.1″,5.08,-1.11,565,B3V,
σ1 Tau,σ1,91,,,29479,21673,04h 39m 09.20s,+15° 48′ 00.1″,5.08,1.74,152,A4m,member of the Hyades star cluster
97 Tau,i,97,,V480,30780,22565,04h 51m 22.41s,+18° 50′ 23.8″,5.08,1.27,189,A7IV-V,V480 Tau; member of the Hyades star cluster; δ Sct variable
66 Tau,r,66,50,,27820,20522,04h 23m 51.84s,+09° 27′ 39.5″,5.1,-0.32,396,A3V,
4 Tau,s,4,,,21686,16322,03h 30m 24.48s,+11° 20′ 11.3″,5.14,-0.39,417,A0Vn,
41 Tau,,41,,GS,25823,19171,04h 06m 36.40s,+27° 36′ 00.1″,5.18,-0.72,494,B9p Si,GS Tau; α² CVn variable
125 Tau,,125,,,37438,26640,05h 39m 44.19s,+25° 53′ 49.7″,5.18,-0.73,495,B3IV,
ψ Tau,ψ,42,,,25867,19205,04h 07m 00.52s,+29° 00′ 04.6″,5.21,3.01,90,F1V,
43 G. Tau,,,43,,26793,19799,04h 14m 36.24s,+10° 00′ 41.2″,5.22,-0.59,474,B9Vn,
,,,,,23985,17954,03h 50m 18.91s,+25° 34′ 46.7″,5.24,1.39,192,A2V,
58 Tau,,58,,V696,27459,20261,04h 20m 36.24s,+15° 05′ 43.8″,5.26,1.89,154,F0V,V696 Tau; member of the Hyades star cluster; δ Sct variable
κ2 Tau,κ2,67,,,27946,20641,04h 25m 24.94s,+22° 12′ 00.4″,5.27,2.05,144,A7V,member of the Hyades star cluster
l Tau,l,106,,,32977,23871,05h 07m 48.43s,+20° 25′ 06.4″,5.28,1.65,173,A5V,
133 Tau,,133,,,38622,27364,05h 47m 42.90s,+13° 53′ 58.7″,5.28,-1.67,799,B2IV-V,
46 Tau,,46,41,,26690,19719,04h 13m 33.11s,+07° 42′ 57.7″,5.29,2.45,121,F3V...,
40 Tau,,40,32,V1133,25558,18957,04h 03m 44.60s,+05° 26′ 08.3″,5.32,-2.21,1045,B3V,V1133 Tau
49 Eri,,-49,62,,29335,21515,04h 37m 13.68s,+00° 59′ 54.0″,5.32,-1.75,847,B7V,
