Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Polaris,α,1,,8890,11767,02h 31m 47.08s,+89° 15′ 50.9″,1.97,-3.64,431,F7:Ib-IIv SB,"Pole Star, Lodestar, Alruccabah, Cynosura, Phoenice, Tramontana, Angel 
Stern, Navigatoria, Star of Arcady, Yilduz, Mismar, Polyarnaya, Dhruva; classical 
Cepheid, *V*max = 1.97m, *V*min = 2.00m, *P* = 3.9696 d"
β UMi,β,7,,131873,72607,14h 50m 42.40s,+74° 09′ 19.7″,2.07,-0.87,126,K4IIIvar,"Kochab, Kokab, Kochah; suspected variable, *V*max = 2.02m, *V*min = 2.08m, 
has a planet (b)"
γ UMi,γ,13,,137422,75097,15h 20m 43.75s,+71° 50′ 02.3″,3.04,-2.84,480,A3II-III,"Pherkad, Pherkad Major; δ Sct variable, Δ*V* = 0.05m, *P* = 0.143009 d"
ε UMi,ε,22,,153751,82080,16h 45m 58.16s,+82° 02′ 14.1″,4.21,-0.92,346,G5IIIvar,"RS CVn variable, *V*max = 4.19m, *V*min = 4.23m, *P* = 39.4809 d"
5 UMi,,5,,127700,70692,14h 27m 31.52s,+75° 41′ 45.4″,4.25,-0.87,345,K4III,
ζ UMi,ζ,16,,142105,77055,15h 44m 03.46s,+77° 47′ 40.2″,4.29,-1.02,376,A3Vn,Ahfa al Farkadain
δ UMi,δ,23,,166205,85822,17h 32m 12.90s,+86° 35′ 10.8″,4.35,0.61,183,A1Vn,"Yildun, Gildun, Vildiur, Yilduz, Pherkard"
RR UMi,,,RR,132813,73199,14h 57m 35.12s,+65° 55′ 56.6″,4.63,-0.8,398,M5III,"semiregular variable, *V*max = 4.44m, *V*min = 4.85m, *P* = 43.3 d"
4 UMi,,4,,124547,69112,14h 08m 51.01s,+77° 32′ 50.8″,4.8,-1.13,500,K3III,
η UMi,η,21,,148048,79822,16h 17m 30.50s,+75° 45′ 16.9″,4.95,2.58,97,F5V,"Anwar al Farkadain, Alasco"
θ UMi,θ,15,,139669,76008,15h 31m 25.05s,+77° 20′ 57.6″,5,-2.03,832,K5III,suspected variable
11 UMi,,11,,136726,74793,15h 17m 05.88s,+71° 49′ 26.0″,5.02,-0.37,389,K4III,Pherkad Minor; has a planet (b)
HD 136064,,,,136064,74605,15h 14m 38.00s,+67° 20′ 51.6″,5.15,3.13,83,F9IV,
HD 124730,,,,124730,69373,14h 12m 04.05s,+69° 25′ 57.6″,5.18,-0.5,445,M2III,"variable star, Δ*V* = 0.010m, *P* = 4.43184 d"
19 UMi,,19,,146926,79280,16h 10m 49.53s,+75° 52′ 39.1″,5.48,-1.07,665,B8V,
HD 118904,,,,118904,66435,13h 37m 11.05s,+71° 14′ 32.2″,5.5,0.05,400,K2III,
HD 149681,,,,149681,80480,16h 25m 43.53s,+78° 57′ 49.0″,5.55,2.42,138,F0V,
HD 133002,,,,133002,72573,14h 50m 19.63s,+82° 30′ 45.0″,5.63,2.45,141,F9V,
HD 140227,,,,140227,76519,15h 37m 39.21s,+69° 16′ 59.6″,5.65,-1.51,881,M0III,
HD 145622,,,,145622,78661,16h 03m 31.40s,+76° 47′ 38.0″,5.73,-0.53,581,A3V,
HD 158996,,,,158996,84769,17h 19m 37.05s,+80° 08′ 11.0″,5.74,-1.67,991,K5III,
24 UMi,,24,,166926,85699,17h 30m 46.97s,+86° 58′ 04.9″,5.78,2.38,156,A2m,
HD 117187,,,,117187,65536,13h 26m 08.02s,+72° 23′ 29.4″,5.82,-1.63,1009,M1III,
HD 120084,,,,120084,66903,13h 42m 39.38s,+78° 03′ 51.6″,5.91,0.96,318,G7III:,has a planet (b)
HD 152303,,,,152303,81854,16h 43m 06.14s,+77° 30′ 48.5″,5.99,3.21,117,F4V,
HD 147321,,,,147321,79601,16h 14m 33.47s,+73° 23′ 41.3″,6.02,-0.78,748,A3V,
VX UMi,,,VX,155154,83317,17h 01m 40.08s,+75° 17′ 51.6″,6.17,2.91,146,F0IVn,γ Dor variable
HD 135384,,,,135384,74272,15h 10m 44.40s,+67° 46′ 51.8″,6.18,0.23,504,A8Vn,
HD 133994,,,,133994,73706,15h 03m 57.73s,+65° 55′ 11.0″,6.22,0.45,464,A2Vs,
UY UMi,,,UY,107192,59767,12h 15m 20.67s,+87° 42′ 00.0″,6.27,2.93,152,F2V,γ Dor variable
HD 129245,,,,129245,71196,14h 33m 38.62s,+79° 39′ 36.8″,6.27,0.52,461,K3III,
λ UMi,λ,,,183030,84535,17h 16m 57.26s,+89° 02′ 15.8″,6.31,-0.84,876,M1III,semiregular variable
HD 107113,,,,107113,59879,12h 16m 49.35s,+86° 26′ 09.0″,6.33,3.34,129,F4V,
HD 151623,,,,151623,81428,16h 37m 52.81s,+78° 55′ 06.8″,6.33,0.81,414,G9III,
HD 150275,,,,150275,80850,16h 30m 39.08s,+77° 26′ 45.1″,6.35,0.87,408,K1III,
20 UMi,,20,,147142,79420,16h 12m 32.20s,+75° 12′ 38.1″,6.36,-0.49,765,K2IV,
HD 113889,,,,113889,63822,13h 04m 49.78s,+73° 01′ 29.8″,6.43,1.01,396,F0V,
3 UMi,,3,,124063,68956,14h 06m 56.48s,+74° 35′ 37.5″,6.43,0.79,438,A7V,
HD 5914,,,,5914,7283,01h 33m 48.52s,+89° 00′ 56.6″,6.46,1.49,321,A3V,
π1 UMi A,π1,,,139777,75809,15h 29m 11.97s,+80° 26′ 54.0″,6.57,4.85,72,G8IV-V+...,
9 UMi,,9,,133621,73440,15h 00m 27.71s,+71° 45′ 54.9″,6.64,4,110,G0,
8 UMi,,8,,133086,73136,14h 56m 48.32s,+74° 54′ 03.3″,6.83,0.95,489,K0,has a planet (b)
π2 UMi,π2,18,,141652,76695,15h 39m 38.72s,+79° 58′ 59.2″,6.89,1.54,384,F2,
HD 150706,,,,150706,80902,16h 31m 17.59s,+79° 47′ 23.2″,7.03,4.85,89,G0,has an unconfirmed planet
U UMi,,,U,125556,69816,14h 17m 19.90s,+66° 47′ 39.2″,7.1,,858,M6-8e,"Mira variable, *V*max = 7.1m, *V*min = 13m, *P* = 330.92 d"
π1 UMi B,π1,,,139813,75829,15h 29m 24.36s,+80° 27′ 00.0″,7.3,5.62,71,G5,
